FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY
5229,2112265,E1119,P,2545200,6677897,2545205,6677895,Impilahdentie,Impilaxvägen,Linnoitustie,Befästningsvägen,1,1,1,04
5230,2112266,E1121,P,2545220,6677890,2545204,6677896,Impilahdentie,Impilaxvägen,Linnoitustie,Befästningsvägen,1,1,1,04
5231,2112267,E1122,P,2545049,6677814,2545048,6677805,Leirikatu,Lägergatan,Impilahdentie,Impilaksvägen,1,1,1,04
5232,2112268,E1123,P,2545103,6677787,2545103,6677801,Leirikatu,Lägergatan,Impilahdentie,Impilaksvägen,0,0,1,04
5233,2112269,E1124,P,2544789,6677885,2544785,6677876,Salmintie,Salmisvägen,Ensontie,Ensovägen,1,1,1,04
5234,2112270,E1125,P,2544576,6677908,2544563,6677901,Pikkalantie,Pickalavägen,Pikkalantie,Pickalavägen,0,0,1,04
5235,2112271,E1126,P,2544449,6678140,2544442,6678139,Pikkalankulma,Pickalahörnet,Pikkalantie,Pickalavägen,0,0,1,04
5236,2112272,E1127,P,2544443,6678078,2544467,6678091,Pikkalankulma,Pickalahörnet,Pikkalantie,Pickalavägen,0,0,1,04
5237,2112296,E1129,P,2545238,6678673,2545233,6678689,Ratsutori,Ryttartorget,Leppävaarankatu,Albergagatan,1,1,1,04
5238,2112900,XE1105,P,2544644,6678701,2544644,6678699,Ruusutorpan koulu,Ruusutorpan koulu,Leppävaarankatu 19,Albergagatan 19,0,0,0,99
5239,2113201,E1990,P,2545404,6679174,2545406,6679156,Arkadianportaat,Arkadiatrappan,Mestarinkatu,Mestargatan,1,1,1,04
5240,2113202,E1992,P,2545635,6679446,2545621,6679458,Laturintörmä,Laddarbrinken,Mestarinkatu,Mastargatan,1,1,1,04
5241,2113203,E1993,P,2545434,6679259,2545440,6679272,Ylänteenkatu,Ylännegatan,Mestarinkatu,Mästargatan,1,1,1,04
5242,2113204,E1132,P,2546845,6679131,2546834,6679149,Mäkkylän asema,Mäkkylä station,Turuntie,Åbovägen,1,1,1,01
5243,2113205,E1133,P,2546337,6679095,2546342,6679061,Kalkkipellonmäki,Kalkåkersbacken,Turuntie,Åbovägen,1,1,1,01
