FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY
1,1010101,H2997,P,2552977,6673549,2552961,6673548,Yliopisto,Universitetet,Unioninkatu,Unionsgatan,0,0,1,99
2,1010102,H2007,P,2553276,6673478,2553293,6673478,Ritarihuone,Riddarhuset,Mariankatu,Mariegatan,0,0,1,04
3,1010103,H2008,P,2553291,6673679,2553279,6673678,Kirkkokatu,Kyrkogatan,Mariankatu 13,Mariegatan 13,0,0,1,04
4,1010104,H2009,P,2553276,6673674,2553280,6673675,Kirkkokatu,Kyrkogatan,Mariankatu 12,Mariegatan 12,0,0,1,04
5,1010105,H2010,P,2553277,6673825,2553268,6673824,Vironkatu,Estnäsgatan,Mariankatu 17,Mariegatan 17,0,0,1,04
6,1010106,H2011,P,2553266,6673841,2553267,6673841,Vironkatu,Estnäsgatan,Mariankatu,Mariegatan,0,0,1,04
7,1010107,H2014,P,2553283,6674001,2553283,6674004,Meritullinkatu,Sjötullsgatan,Liisankatu 8,Elisabetsgatan 8,1,1,1,04
8,1010108,H2013,P,2553284,6674008,2553275,6674004,Meritullinkatu,Sjötullsgatan,Liisankatu 11,Elisabetsgatan 11,1,1,1,04
9,1010109,H2016,P,2553502,6674010,2553501,6674018,Liisanpuistikko,Elisabetsskvären,Liisankatu,Elisabetsgatan,1,1,1,01
10,1010110,H2015,P,2553474,6674027,2553475,6674016,Liisanpuistikko,Elisabetsskvären,Liisankatu 1,Elisabetsgatan 1,1,1,1,04
11,1010111, ,P,2553565,6674110,2553553,6674109,Pohjoisranta,Norra kajen,Pohjoisranta,Norra kajen,0,0,1,99
12,1010112, ,P,2553543,6674129,2553551,6674129,Pohjoisranta,Norra kajen,Pohjoisranta 22,Norra kajen 22,0,0,1,99
13,1010113,H0408,P,2553263,6673464,2553265,6673444,Ritarihuone,Ritarihuone,Aleksanterinkatu,Alexandersgatan,0,0,1,99
14,1010114,H0448,P,2553021,6673449,2553021,6673438,Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,0,0,1,99
15,1010115,H2006,P,2553308,6673483,2553293,6673482,Ritarihuone,Riddarhuset,Mariankatu,Mariegatan,0,0,1,04
16,1010116,H0407,P,2553224,6673429,2553224,6673429,Ritarihuone,Riddarhuset,Aleksanterinkatu 10,Alexandersgatan 10,0,0,1,99
17,1010119,H0450,P,2553098,6673574,2553109,6673575,Hallituskatu,Regeringsgatan,Snellmaninkatu,Snellmansgatan,0,0,1,99
18,1010120,H,P,2553112,6673486,2553107,6673479,Senaatintori,Senatstorget,Snellmaninkatu 1,Snellmansgatan 1,0,0,1,99
19,1010121,H0452,P,2553084,6673744,2553096,6673746,Kansallisarkisto,Riksarkivet,Snellmaninkatu 8,Snellmansgatan 8,0,0,1,01
20,1010122,H0451,P,2553112,6673574,2553109,6673574,Hallituskatu,Regeringsgatan,Snellmaninkatu,Snellmansgatan,0,0,1,99
21,1010124,H0454,P,2553038,6673970,2553038,6673988,Snellmaninkatu,Snellmansgatan,Liisankatu 20,Elisabetsgatan 20,1,1,1,01
22,1010125,H0455,P,2553021,6674003,2553022,6673988,Snellmaninkatu,Snellmansgatan,Liisankatu 25,Elisabetsgatan 25,1,1,1,01
23,1010126,H2018,P,2553529,6673985,2553528,6673984,Liisanpuistikko,Elisabetsskvären,Pohjoisranta,Norra kajen,0,0,1,99
24,1010127,H2017,P,2553409,6673660,2553409,6673651,Pohjoisranta,Norra kajen,Kirkkokatu 1,Kyrkogatan 1,0,0,1,99
25,1010128,H2012,P,2553263,6673978,2553258,6673977,Liisankatu,Elisabetsgatan,Mariankatu 23,Mariegatan 23,0,0,1,01
26,1010131,H0453,P,2553100,6673744,2553095,6673744,Kansallisarkisto,Riksarkivet,Snellmaninkatu,Snellmansgatan,0,0,1,99
27,1010180,H2005,P,2553139,6673314,2553141,6673303,Kauppatori,Salutorget,Pohjoisesplanadi,Norra esplanaden,0,0,1,04
28,1010419,H0450,P,2553099,6673549,2553111,6673549,Hallituskatu,Regeringsgatan,Snellmaninkatu 4,Snellmansgatan 4,1,1,3,04
29,1010420,H0451,P,2553121,6673575,2553109,6673575,Hallituskatu,Regeringsgatan,Snellmaninkatu 3,Snellmansgatan 3,1,1,3,01
30,1010421,H0453,P,2553105,6673774,2553093,6673774,Kansallisarkisto,Riksarkivet,Snellmaninkatu 13,Snellmansgatan 13,1,1,3,01
31,1010422,H0452,P,2553083,6673737,2553096,6673737,Kansallisarkisto,Riksarkivet,Snellmaninkatu 8,Snellmansgatan 8,1,1,3,01
32,1010424,H0408,P,2553252,6673463,2553255,6673443,Ritarihuone,Riddarhuset,Aleksanterinkatu,Alexandersgatan,1,1,3,01
33,1010425,H0407,P,2553224,6673428,2553224,6673440,Ritarihuone,Riddarhuset,Aleksanterinkatu 10,Alexandersgatan 10,1,1,3,04
34,1010427,H0455,P,2553022,6673996,2553022,6673988,Snellmaninkatu,Snellmansgatan,Liisankatu 25,Elisabetsgatan 20,1,1,3,01
35,1010428,H0454,P,2553039,6673975,2553038,6673987,Snellmaninkatu,Snellmansgatan,Liisankatu 20,Elisabetsgatan 20,1,1,3,01
36,1010451,H0448,P,2552996,6673429,2552997,6673425,Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,1,1,3,04
37,1010900,XH2003,P,2553148,6673318,2553149,6673304,Kauppatori länteen,Salutorget västerut,Pohjoisesplanadi 7,Norra Esplanaden 7,0,0,0,99
38,1010901,XH2007,P,2553037,6673513,2553037,6673514,Hki tuomiokirkko,Hfors domkyrka,Unioninkatu,Unionsgatan,0,0,0,99
39,1010902,XH2024,P,2553474,6674206,2553474,6674207,Pohjoisranta,Norra kajen,Pohjoisranta,Norra kajen,0,0,0,99
40,1010903,XH2025,P,2553159,6674260,2553159,6674261,Siltavuorenranta,Brobergskajen,Siltavuorenranta,Brobergskajen,0,0,0,99
41,1010904,XH2047,P,2553042,6673716,2553043,6673705,Kansallisarkisto,Riksarkivet,Rauhankatu 17,Fredsgatan 17,0,0,0,99
42,1010905,XH2062,P,2553849,6673964,2553849,6673965,Tervasaari,Tjärholmen,Tervasaarenkannas,Tjärholmsnäset,0,0,0,99
43,1010906,XH2018,P,2552979,6674185,2552972,6674196,Siltavuorenranta 18,Brobergskajen 18,Siltavuorenranta 18,Brobergskajen 18,0,0,0,99
44,1020100,H2019,P,2552533,6673893,2552532,6673907,Rautatientori,Järnvägstorget,Läntinen Teatterikuj,Västra Teatergränden,0,0,1,04
45,1020101,H1910,P,2552296,6673472,2552301,6673476,Lasipalatsi,Glaspalatset,Mannerheimintie 20,Mannerheimvägen 20,1,0,1,04
46,1020102,H1905,P,2552171,6673655,2552162,6673649,Postitalo,Posthuset,Mannerheimintie,Mannerheimvägen,0,0,1,99
47,1020103,H2082,P,2552790,6674207,2552788,6674187,Kaisaniemi,Kajsaniemi,Kaisaniemenranta,Kajsaniemistranden,0,0,1,99
48,1020104,H2057,P,2552567,6673562,2552565,6673579,Rautatientori,Järnvägstorget,Kaivokatu 4,Brunnsgatan 4,1,1,1,01
49,1020105,H2061,P,2552936,6674092,2552928,6674091,Kaisaniemenpuisto,Kajsaniemiparken,Unioninkatu 43,Unionsgatan 43,1,1,1,01
50,1020106,H2060,P,2552860,6673919,2552864,6673916,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,1,1,1,01
51,1020107,H2996,P,2552961,6673388,2552974,6673390,Yliopisto,Universitetet,Unioninkatu 32,Unionsgatan 32,0,0,1,99
52,1020108,H2998,P,2552912,6673912,2552936,6673912,Kaisaniemi,Kajsaniemi,Unioninkatu,Unionsgatan,0,0,1,99
53,1020109,H2053,P,2552675,6673762,2552675,6673757,Rautatientori,Järnvägstorget,Vilhonkatu,Vilhelmsgatan,0,0,1,99
54,1020110,H2268,P,2552526,6673905,2552532,6673906,Bergbominkuja,Bergbomsgränden,Kaisaniemen puistokj,Kajsaniemiallen,0,0,1,99
55,1020112,H2040,P,2552497,6673610,2552509,6673611,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
56,1020113,H2041,P,2552530,6673599,2552539,6673608,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
57,1020114, ,P,2552400,6673552,2552400,6673569,Rautatientori,Järnvägstorget,Kaivokatu 10,Brunnsgatan 10,0,0,0,99
58,1020115,H2043,P,2552498,6673683,2552505,6673683,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
59,1020116,H2044,P,2552511,6673647,2552518,6673646,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
60,1020117,H2045,P,2552511,6673677,2552517,6673676,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
61,1020118,H2046,P,2552509,6673708,2552509,6673709,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,0,0,1,01
62,1020119,H2047,P,2552528,6673632,2552529,6673632,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
63,1020120,H2048,P,2552522,6673672,2552531,6673672,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
64,1020121,H2049,P,2552522,6673709,2552523,6673709,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,0,0,1,01
65,1020122,H2050,P,2552542,6673621,2552550,6673621,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
66,1020123,H2051,P,2552539,6673676,2552539,6673676,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
67,1020124,H2056,P,2552297,6673552,2552310,6673536,Kaivokatu,Brunnsgatan,Kaivokatu,Brunnsgatan,1,1,1,04
68,1020126,H2040,P,2552499,6673609,2552509,6673610,Rautatientori,Järnvägstorget,Keskuskatu,Centralgatan,0,0,1,99
69,1020128,H2020,P,2552333,6673654,2552333,6673663,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,04
70,1020129,H2021,P,2552355,6673705,2552355,6673705,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
71,1020130,H2037,P,2552303,6673704,2552305,6673705,Elielinaukio,Elielplatsen,Postikuja,Postgränd,1,1,1,04
72,1020131,H2022,P,2552355,6673712,2552355,6673712,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
73,1020132,H2025,P,2552355,6673733,2552355,6673733,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
74,1020133,H2023,P,2552355,6673719,2552355,6673719,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
75,1020134,H2057,P,2552571,6673563,2552569,6673578,Rautatientori,Järnvägstorget,Kaivokatu 4,Brunnsgatan 4,1,1,1,99
76,1020135,H2024,P,2552355,6673726,2552355,6673726,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
77,1020136,H2043,P,2552499,6673669,2552499,6673669,Rautatientori,Järnvägstorget,Laituri 3,Plattform 3,0,0,1,99
78,1020137, ,P,2552539,6673676,2552539,6673676,Rautatientori,Järnvägstorget,Laituri 11,Plattform 11,0,0,1,99
79,1020138,H1904,P,2552110,6673692,2552118,6673695,Paasikivenaukio,Paasikivis platsen,Mannerheimintie,Mannerheimvägen,0,0,0,99
80,1020140,H2055,P,2552334,6673539,2552326,6673548,Kaivokatu,Brunnsgatan,Kaivokatu 12,Brunnsgatan 12,1,1,1,04
81,1020142,H2001,P,2552590,6673280,2552591,6673272,Keskuskatu,Centralgatan,Pohjoisesplanadi 37,Norra esplanaden 37,0,0,1,99
82,1020167,H2054,P,2552504,6673428,2552520,6673425,Keskuskatu,Centralgatan,Keskuskatu 4,Centralgatan 4,0,0,1,99
83,1020169,H2059,P,2552899,6673926,2552892,6673930,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,1,1,1,01
84,1020170, ,P,2552334,6673670,2552335,6673661,Asema-aukio,Stationsplatsen,Asema-aukio,Stationsplatsen,0,0,0,99
85,1020171,H2038,P,2552275,6673620,2552274,6673627,Postitalo,Posthuset,Postikatu,Postgatan,1,1,1,04
86,1020174,H1903,P,2552253,6673561,2552242,6673553,Lasipalatsi,Glaspalatset,Mannerheimintie 9,Mannerheimvägen 9,1,1,1,04
87,1020175,H2058,P,2552621,6673653,2552629,6673654,Rautatientori,Järnvägstorget,Mikonkatu,Mikaelsgatan,1,1,1,01
88,1020176,H2039,P,2552261,6673639,2552263,6673624,Postitalo,Posthuset,Postikatu,Postgatan,0,0,1,01
89,1020177,H1902,P,2552223,6673552,2552237,6673559,Lasipalatsi,Glaspalatset,Mannerheimintie,Mannerheimsvägen,1,0,1,04
90,1020179,H2089,P,2552939,6673311,2552940,6673295,Kauppatori,Salutorget,Pohjoisesplanadi,Norra Esplanaden,0,0,1,99
91,1020181,H2003,P,2552820,6673304,2552822,6673288,Esplanadi,Esplanaden,Pohjoisesplanadi 27,Norra esplanaden 27,0,0,1,99
92,1020182,H2042,P,2552497,6673635,2552508,6673635,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,04
93,1020201,H2139,P,2552565,6673742,2552565,6673738,Rautatientori,Järnvägstorget,Vilhonkatu,Vilhelmsgatan,1,1,1,04
94,1020202,H2050,P,2552543,6673621,2552550,6673621,Rautatientori,Järnvägstorget,Laituri 10,Plattform 10,0,0,1,99
95,1020203,H2051,P,2552535,6673668,2552535,6673668,Rautatientori,Järnvägstorget,Laituri 11,Plattform 11,0,0,1,99
96,1020204,H2052,P,2552537,6673710,2552538,6673709,Rautatientori,Järnvägstorget,Rautatientori,Järnvägstorget,1,1,1,01
97,1020217,H2045,P,2552510,6673668,2552510,6673668,Rautatientori,Järnvägstorget,Laituri 5,Plattform 5,0,0,1,99
98,1020221,H2049,P,2552522,6673699,2552522,6673699,Rautatientori,Järnvägstorget,Laituri 9,Plattform 9,0,0,1,99
99,1020228,H2020,P,2552342,6673654,2552342,6673663,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,0,1,99
100,1020230,H,P,2552311,6673680,2552310,6673680,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,99
101,1020235, ,P,2552355,6673726,2552355,6673726,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,99
102,1020237,H2025,P,2552355,6673733,2552355,6673733,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,99
103,1020238,H2068,P,2552080,6673699,2552118,6673695,Paasikivenaukio,Paasikivis platsen,Mannerheimintie,Mannerheimvägen,0,0,1,99
104,1020239,H2026,P,2552355,6673740,2552355,6673740,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
105,1020241,H2027,P,2552355,6673747,2552355,6673747,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
106,1020243,H2028,P,2552355,6673754,2552355,6673754,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
107,1020245,H2029,P,2552355,6673761,2552355,6673761,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,1,1,1,03
108,1020249,H2031,P,2552305,6673698,2552305,6673698,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
109,1020251,H2032,P,2552304,6673705,2552304,6673705,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
110,1020253,H2033,P,2552323,6673725,2552303,6673712,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
111,1020255,H2034,P,2552302,6673719,2552302,6673719,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
112,1020257,H2035,P,2552322,6673738,2552301,6673726,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
113,1020259,H2036,P,2552300,6673733,2552300,6673733,Elielinaukio,Elielplatsen,Elielinaukio,Elielplatsen,0,0,1,03
114,1020401,H0425,P,2552667,6673566,2552657,6673566,Mikonkatu,Mikaelsgatan,Mikonkatu,Mikaelsgatan,1,1,3,01
115,1020402,H0424,P,2552643,6673551,2552655,6673552,Mikonkatu,Mikaelsgatan,Mikonkatu,Mikaelsgatan,1,1,3,01
116,1020443,H0102,P,2552243,6673545,2552247,6673548,Lasipalatsi,Glaspalatset,Mannerheimintie,Mannerheimvägen,1,1,3,01
117,1020444,H0101,P,2552232,6673573,2552229,6673570,Lasipalatsi,Glaspalatset,Mannerheimintie 9,Mannerheimvägen 9,1,1,3,01
118,1020446,H0401,P,2552499,6673381,2552498,6673390,Ylioppilastalo,Studenthuset,Aleksanterinkatu,Alexandersgatan,1,1,3,01
119,1020447,H0402,P,2552474,6673401,2552475,6673388,Ylioppilastalo,Studenthuset,Aleksanterinkatu,Alexandersgatan,1,1,3,01
120,1020448,H0403,P,2552742,6673402,2552741,6673408,Aleksanterinkatu,Alexandersgatan,Aleksanterinkatu 42,Alexandersgatan 42,1,1,3,01
121,1020449,H0404,P,2552700,6673413,2552701,6673405,Aleksanterinkatu,Alexandersgatan,Aleksanterinkatu 13,Alexandersgatan 13,1,1,3,01
122,1020450,H0405,P,2552941,6673417,2552940,6673422,Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,1,1,3,01
123,1020453,H0301,P,2552431,6673563,2552430,6673570,Rautatieasema,Järnvägsstationen,Kaivokatu,Brunnsgatan,1,1,3,01
124,1020454,H0302,P,2552394,6673576,2552394,6673567,Rautatieasema,Järnvägsstationen,Kaivokatu,Brunnsgatan,1,1,3,01
125,1020455,H0406,P,2552911,6673428,2552912,6673420,Senaatintori,Senatstorget,Aleksanterinkatu,Alexandersgatan,1,1,3,01
126,1020456,H0342,P,2552628,6673658,2552634,6673659,Rautatientori,Järnvägstorget,Mikonkatu,Mikaelsgatan,0,0,1,04
127,1020457,H0303,P,2552782,6673739,2552780,6673739,Kaisaniemenkatu,Kajsaniemigatan,Kaisaniemenkatu 7,Kajsaniemigatan 7,1,1,3,01
128,1020458,H0304,P,2552766,6673716,2552774,6673713,Kaisaniemenkatu,Kajsaniemigatan,Kaisaniemenkatu,Kajsaniemigatan,1,1,3,04
129,1020459,H0305,P,2552888,6673930,2552883,6673934,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,1,1,3,01
130,1020460,H0306,P,2552858,6673904,2552866,6673900,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenkatu,Kajsaniemigatan,1,1,1,01
131,1020463,H0701,P,2552423,6673327,2552419,6673324,Ylioppilastalo,Studenthuset,Mannerheimintie 1,Mannerheimvägen 1,1,1,3,01
132,1020464,H0702,P,2552449,6673275,2552454,6673278,Ylioppilastalo,Studenthuset,Mannerheimintie,Mannerheimvägen,1,1,3,01
133,1020501,H0070,P,2552450,6673670,2552450,6673670,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,1,1,4,03
134,1020502,H0070,P,2552350,6673827,2552350,6673827,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,1,1,4,03
135,1020503,H0070,P,2552470,6673859,2552468,6673859,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,1,1,4,03
136,1020521,H0070,P,2552472,6673882,2552475,6673883,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
137,1020522,H0070,P,2552470,6673882,2552464,6673882,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
138,1020523,H0070,P,2552454,6673883,2552459,6673883,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
139,1020524,H0070,P,2552465,6673696,2552461,6673695,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
140,1020525,H0070,P,2552452,6673696,2552455,6673696,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
141,1020526,H0070,P,2552449,6673696,2552447,6673696,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
142,1020527,H0070,P,2552435,6673695,2552441,6673695,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
143,1020528,H0070,P,2552435,6673693,2552430,6673694,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
144,1020529,H0070,P,2552422,6673694,2552425,6673694,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
145,1020530,H0070,P,2552418,6673693,2552414,6673692,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
146,1020531,H0070,P,2552404,6673693,2552408,6673693,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
147,1020532,H0070,P,2552391,6673848,2552386,6673848,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
148,1020533,H0070,P,2552380,6673846,2552381,6673846,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
149,1020534,H0070,P,2552374,6673845,2552370,6673846,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
150,1020535,H0070,P,2552360,6673845,2552366,6673846,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
151,1020536,H0070,P,2552357,6673845,2552355,6673845,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
152,1020537,H0070,P,2552346,6673845,2552349,6673845,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
153,1020538,H0070,P,2552344,6673844,2552338,6673845,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
154,1020539,H0070,P,2552327,6673843,2552333,6673843,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,0,0,0,99
155,1020551,H0070,P,2552435,6673670,2552435,6673670,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,1,1,4,03
156,1020552,H0070,P,2552330,6673828,2552330,6673828,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,1,1,4,03
157,1020553,H0070,P,2552442,6673858,2552442,6673858,Helsinki,Helsingfors,Kaivokatu 1,Brunnsgatan 1,1,1,4,03
158,1020601,H0019,P,2552349,6673566,2552350,6673551,Rautatientori,Järnvägstorget,Asema-aukio,Statiosplatsen,1,1,2,03
159,1020602,H0018,P,2552350,6673566,2552349,6673583,Rautatientori,Järnvägstorget,Asema-aukio,Statiosplatsen,1,1,2,03
160,1020603,H0021,P,2552794,6673753,2552826,6673744,Helsingin yliopisto,H:fors universitet,Vuorikatu 12,Berggatan 12,1,1,2,03
161,1020604,H0020,P,2552792,6673755,2552777,6673763,Helsingin yliopisto,H:fors universitet,Vuorikatu 12,Berggatan 12,1,1,2,03
162,1020901,XH2013,P,2552267,6674074,2552267,6674073,Alvar Aallon katu,Alvar Aaltos gata,Alvar Aallon katu 3,Alvar Aaltos gata 3,0,0,0,99
163,1020902,XH2040,P,2552452,6674316,2552456,6674313,Ravintola Kaisaniemi,Ravintola Kaisaniemi,Kaisaniementie 6,Kajsaniemivägen 6,0,0,0,99
164,1020903,XH2019,P,2552498,6673282,2552500,6673263,Stockmann,Stockmann,Pohjoisesplanadi,Norra Esplanaden,0,0,0,99
165,1020904,XH2001,P,2552838,6673316,2552840,6673289,Fabianinkatu,Fabiansgatan,Pohjoisesplanadi,Norra Esplanaden,0,0,0,99
166,1020905,XH2031,P,2552761,6673882,2552758,6673882,Kaisaniemen ala-aste,Kajsaniemi lågstd,Puutarhakatu 1,Trädgårdsgatan 1,0,0,0,99
167,1020906,XH2050,P,2552166,6673659,2552165,6673658,Kiasma,Kiasma,Mannerheiminaukio 2,Mannerheimplatsen 2,0,0,0,99
168,1020908,XH2023,P,2552719,6674213,2552716,6674202,Kasvitiet. puutarha,Botaniska trädgården,Kaisaniemenranta,Kajsaniemistranden,0,0,0,99
169,1030100,H1985,P,2553076,6673024,2553070,6673022,Pohj. Makasiinikatu,Norra Magasinsgatan,Eteläranta,Södra Kajen,0,0,1,04
170,1030101,H2000,P,2552606,6673158,2552597,6673170,Erottaja,Skillnaden,Eteläesplanadi,Södra esplanaden,0,0,1,99
171,1030102,H1900,P,2552488,6673202,2552504,6673215,Erottaja,Skillnaden,Mannerheimintie,Mannerheimvägen,1,0,1,01
172,1030103,H2002,P,2552840,6673204,2552840,6673217,Esplanadi,Esplanaden,Eteläesplanadi 12,Södra esplanaden 12,0,0,1,99
173,1030104, ,P,2553056,6673023,2553064,6673025,Eteläranta,Södra kajen,Eteläranta,Södra Kajen,0,0,1,99
174,1030105,H2004,P,2553011,6673230,2553011,6673232,Kauppatori,Salutorget,Eteläesplanadi,Södra Esplanaden,0,0,1,04
175,1030106, ,P,2553071,6673025,2553064,6673024,Eteläranta,Södra kajen,Eteläranta,Södra Kajen,1,0,1,99
176,1030107, ,P,2552551,6672991,2552544,6673000,Kolmikulma,Trekanten,Uudenmaankatu,Nylandsgatan,0,0,1,99
177,1030108,H1000,P,2552571,6673198,2552538,6673174,Erottaja,Skillnaden,Erottaja,Skillnaden,0,0,1,99
178,1030113,H0705,P,2552676,6672789,2552665,6672781,Johanneksenkirkko,Johanneskyrkan,Yrjönkatu,Georgsgatan,0,0,1,01
179,1030114,H2108,P,2552995,6673032,2552996,6673030,Pohj. Makasiinikatu,Norra Magasinsgatan,Unioninkatu,Unionsgatan,0,0,1,04
180,1030119,H1197,P,2552603,6672996,2552584,6672995,Kolmikulma,Trekanten,Erottajankatu 5,Skillnadsgatan 5,0,0,1,04
181,1030121,H1001,P,2552557,6673194,2552532,6673175,Erottaja,Skillnaden,Erottaja,Skillnaden,0,0,1,01
182,1030122,H1901,P,2552503,6673243,2552488,6673235,Erottaja,Skillnaden,Mannerheimintie,Mannerheimvägen,1,0,1,01
183,1030130,H1002,P,2552549,6673186,2552536,6673176,Erottaja,Skillnaden,Skillnaden,Skillnaden,0,0,1,99
184,1030401,H0709,P,2552552,6672993,2552545,6673003,Kolmikulma,Trekanten,Uudenmaankatu,Nylandsgatan,1,0,3,01
185,1030422,H0430,P,2553012,6673246,2553014,6673232,Kauppatori,Salutorget,Eteläesplanadi,Södra Esplanaden,0,0,1,99
186,1030423,H0429,P,2553011,6673246,2553012,6673247,Kauppatori,Salutorget,Eteläesplanadi,Södra esplanaden,0,0,3,04
187,1030424,H0430,P,2553014,6673240,2553014,6673242,Kauppatori,Salutorget,Eteläesplanadi,Södra esplanaden,1,1,3,01
188,1030425,H0431,P,2553044,6673268,2553042,6673268,Kauppatori,Salutorget,Eteläranta,Södra kajen,1,1,3,01
189,1030426,H0432,P,2553062,6672988,2553067,6672988,Eteläranta,Södra kajen,Eteläranta 10,Södra kajen 10,1,1,3,01
190,1030427,H0433,P,2553070,6672999,2553066,6672999,Eteläranta,Södra kajen,Eteläranta,Södra kajen,1,1,3,01
191,1030428,H0703,P,2552590,6672988,2552585,6672987,Kolmikulma,Trekanten,Erottajankatu 11,Skillnadsgatan 11,1,1,3,01
192,1030429,H0704,P,2552576,6672975,2552586,6672975,Kolmikulma,Trekanten,Erottajankatu,Skillnadsgatan,1,1,3,04
193,1030701,H0099,P,2553240,6673230,2553240,6673230,Kauppatori,Salutorget,Kauppatori,Salutorget,1,1,7,03
194,1030900,XH2002,P,2552792,6673240,2552794,6673214,Kasarmikatu,Kaserngatan,Eteläesplanadi 12,Södra Esplanaden 12,0,0,0,99
