Date,Air Quality Index (index),Nitrogen dioxide (ug/m3),Nitrogen monoxide (ug/m3),Particulate matter < 10 µm (ug/m3),Particulate matter < 2.5 µm (ug/m3),musta hiili PM2.5 (ug/m3)
2020-01-01,1.0833333333333333,13.387500000000001,1.2416666666666665,9.008695652173913,4.745833333333334,0.23750000000000002
2020-01-02,1.375,16.420833333333334,1.675,14.225,6.7749999999999995,0.3125
2020-01-03,1.0833333333333333,10.220833333333333,0.7333333333333334,10.433333333333334,5.1875,0.2416666666666667
2020-01-04,1.0,12.975,2.1083333333333334,9.982608695652173,3.8874999999999997,0.15416666666666667
2020-01-05,2.0,15.683333333333332,7.066666666666666,34.208333333333336,6.066666666666666,0.28750000000000003
2020-01-06,1.0,10.954166666666666,0.3416666666666666,3.2347826086956526,3.216666666666667,0.1375
2020-01-07,1.0,11.633333333333333,0.3625,5.333333333333333,3.4,0.12916666666666668
2020-01-08,1.0,11.529166666666667,2.1,10.269565217391303,5.578260869565218,0.2565217391304348
2020-01-09,1.0,21.854166666666668,3.0666666666666664,11.834782608695651,4.739130434782608,0.3125
2020-01-10,2.4166666666666665,68.14583333333333,79.78750000000001,31.916666666666668,8.933333333333334,1.7375
2020-01-11,1.2916666666666667,19.108333333333334,2.129166666666667,17.099999999999998,6.416666666666667,0.375
2020-01-12,1.0,10.266666666666667,-0.39166666666666666,5.808333333333334,3.5541666666666667,0.13333333333333333
2020-01-13,1.0,18.391666666666666,2.0625,7.695833333333334,4.666666666666667,0.20833333333333334
2020-01-14,1.1666666666666667,16.141666666666666,1.3333333333333333,12.183333333333332,5.379166666666666,0.37916666666666665
2020-01-15,1.0416666666666667,13.658333333333333,5.554166666666667,11.704166666666666,5.845833333333334,0.5
2020-01-16,1.25,16.904166666666665,0.7458333333333332,13.879166666666668,4.966666666666667,0.20833333333333334
2020-01-17,1.0833333333333333,15.116666666666667,1.0583333333333333,15.720833333333333,6.3500000000000005,0.3416666666666666
2020-01-18,1.5416666666666667,12.887500000000001,1.2874999999999999,14.733333333333334,9.208333333333334,0.6875
2020-01-19,1.0,9.208333333333334,0.8875000000000001,7.1499999999999995,3.4499999999999997,0.15833333333333335
2020-01-20,1.0416666666666667,17.94090909090909,5.872727272727272,12.275,4.2,0.18333333333333335
2020-01-21,1.4583333333333333,14.112499999999999,4.641666666666667,21.029166666666665,5.708333333333333,0.19999999999999998
2020-01-22,1.2916666666666667,23.2625,9.766666666666667,13.395833333333334,4.620833333333334,0.30833333333333335
2020-01-23,1.0416666666666667,19.900000000000002,4.954166666666667,8.295833333333333,4.0375000000000005,0.225
2020-01-24,1.2083333333333333,25.958333333333332,7.1625000000000005,7.913043478260869,3.9499999999999997,0.37916666666666665
2020-01-25,1.0833333333333333,12.737499999999999,3.795833333333333,9.645833333333334,3.9416666666666664,0.225
2020-01-26,1.0,14.454166666666666,2.629166666666667,7.530434782608695,4.083333333333333,0.2541666666666667
2020-01-27,1.3333333333333333,26.212500000000002,24.90833333333333,14.75,4.420833333333333,0.4791666666666667
2020-01-28,1.4166666666666667,16.791666666666668,8.833333333333334,18.5625,5.208333333333333,0.46249999999999997
2020-01-29,1.625,19.175,15.745833333333332,19.849999999999998,9.182608695652174,0.7958333333333334
2020-01-30,1.875,16.345833333333335,13.216666666666667,38.579166666666666,8.170833333333333,0.5125000000000001
2020-01-31,2.4166666666666665,26.008333333333336,23.020833333333332,55.59583333333333,12.945833333333333,0.7166666666666667
2020-02-01,1.0416666666666667,8.508333333333333,1.5499999999999998,7.120833333333334,5.029166666666667,0.20833333333333334
2020-02-02,1.0,10.066666666666666,1.7958333333333334,6.7875000000000005,3.6208333333333336,0.14583333333333334
2020-02-03,1.1666666666666667,14.991666666666667,8.158333333333333,12.283333333333333,3.975,0.20833333333333334
2020-02-04,2.2083333333333335,34.925000000000004,19.279166666666665,48.050000000000004,7.5375000000000005,0.4458333333333333
2020-02-05,1.0416666666666667,18.345833333333335,4.008333333333334,11.785714285714286,3.6809523809523808,0.19166666666666668
2020-02-06,1.9583333333333333,21.158333333333335,10.424999999999999,33.47083333333333,5.566666666666666,0.24166666666666667
2020-02-07,1.375,26.84583333333333,11.1875,18.425,4.754166666666666,0.24583333333333335
2020-02-08,1.0,13.279166666666667,3.5749999999999997,5.495833333333334,3.6666666666666665,0.1416666666666667
2020-02-09,1.625,10.612499999999999,1.4666666666666668,16.020833333333332,10.933333333333332,0.3541666666666667
2020-02-10,1.4166666666666667,14.970833333333333,2.733333333333333,17.891666666666666,7.604166666666667,0.35000000000000003
2020-02-11,1.125,11.833333333333334,1.2416666666666667,10.41,5.145833333333333,0.13636363636363635
2020-02-12,1.2083333333333333,19.775000000000002,3.9958333333333336,10.466666666666667,4.691666666666666,0.35833333333333334
2020-02-13,1.25,20.366666666666667,3.733333333333333,11.804347826086957,4.0125,0.27499999999999997
2020-02-14,1.3333333333333333,29.641666666666666,13.316666666666668,14.670833333333334,5.76,0.5272727272727272
2020-02-15,1.125,12.375,2.1125,11.758333333333333,5.720833333333334,0.41250000000000003
2020-02-16,1.5,10.358333333333333,0.9916666666666667,14.336363636363636,10.045833333333333,0.7791666666666667
2020-02-17,1.0833333333333333,9.174999999999999,0.8041666666666667,10.040909090909091,5.520833333333333,0.12083333333333335
2020-02-18,1.1666666666666667,8.7125,0.7458333333333332,13.612499999999999,6.3478260869565215,0.125
2020-02-19,1.25,13.808333333333335,1.6125,14.521739130434783,5.970833333333334,0.19166666666666665
2020-02-20,1.7083333333333333,26.4375,20.645833333333332,28.383333333333336,6.178260869565217,0.425
